date_created,borough,block,lot,current_uses,total_area,structure_completed,number_structures,total_gross_area_structures,ratio_building_to_floor_area,allowable_building_to_floor_area,land_use_category,community_board,census_tract,census_block,school_dist,council_district,fire_comp,police_prct,major_use,number_of_easements,commercial_floor_area,residential_floor_area,office_floor_area,retail_floor_area,garage_floor_area,storage_floor_area,factory_floor_area,other_floor_area,num_floors,residential_units,residential_and_non-residential_units,lot_front,lot_depth,bldg_front,bldg_depth,proximity_code,irr_lot_code,lot_type_code,bsmt_code,assess_land,exempt_land,exempt_tot,year_alter_1,year_alter_2,zone_dist_1,bin,structure_completed_2,new_zone_dist,assess_range
2013-12-11,1,29,73,"AGCY OFFICE, TRANSL HSG - ADULT",9010,1920,1,97596,10.83,10.0,5,101,9,1005,2,1,L015,1,O3,0,97596,0,97596,0,0,0,0,0,12.0,0,0,98.75,72.42,98.75,72.42,0,Y,5,2,2812500.0,0.0,0.0,1984,0,C5-5,1000850,Yes,Commercial,high
2013-12-11,1,34,37,MUSEUM/GALLERY,11346,1920,1,19568,1.72,10.0,8,101,7,1033,2,1,L015,1,P7,0,19568,0,16568,3000,0,0,0,0,5.0,0,1,360.0,33.0,162.0,30.0,1,Y,1,2,1264500.0,1264500.0,1824750.0,1986,0,C6-9,1000866,Yes,Commercial,high
2013-12-11,1,35,1,FIREHOUSE,42176,1987,1,973587,23.08,10.0,5,101,7,1032,2,1,L015,1,O4,0,973587,0,930363,0,29785,0,0,13439,36.0,0,6,216.0,203.33,190.0,184.0,1,Y,1,2,29565000.0,0.0,18724950.0,2008,0,C6-9,1000867,Yes,Commercial,high
2013-12-11,1,36,18,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, SHORT-TERM AGREEMENT",199625,1900,1,199625,1.0,10.0,7,101,7,1029,2,1,L015,1,T2,0,199625,0,0,0,0,0,0,199625,1.0,0,1,328.42,547.17,14.0,34.0,1,N,9,0,6030450.0,6030450.0,6810300.0,1989,0,C4-6,1087760,Yes,Commercial,high
2013-12-11,1,36,25,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",202275,1982,1,202275,1.0,10.0,7,101,7,1027,2,1,E004,1,T2,0,202275,0,0,0,0,0,0,202275,1.0,0,2,352.25,607.0,98.0,24.0,1,Y,2,0,6457950.0,6457950.0,6907950.0,0,0,C4-6,1000005,Yes,Commercial,high
2013-12-11,1,36,30,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",169425,1900,1,169425,1.0,10.0,7,101,7,1027,2,1,E004,1,T2,0,169425,0,0,0,0,0,0,169425,1.0,0,1,273.58,606.0,50.0,488.0,1,Y,2,0,4769550.0,4769550.0,5632650.0,0,0,C4-6,1087761,Yes,Commercial,high
2013-12-11,1,42,31,"AGCY EXECUTVE OFFICE, OFC LEASED BY EDUC",20684,1912,1,527605,25.51,10.0,5,101,7,1004,2,1,E004,1,O3,0,527605,0,510895,16710,0,0,0,0,25.0,0,52,143.92,103.75,143.0,131.0,3,Y,4,2,9000000.0,0.0,0.0,0,0,C5-5,1001015,Yes,Commercial,high
2013-12-11,1,51,15,ACADEMIC HIGH SCHOOL,5882,1973,1,83362,14.17,10.0,8,101,13,2001,2,1,E010,1,W1,0,83362,0,83362,0,0,0,0,0,15.0,0,2,78.75,74.42,78.0,73.0,3,Y,3,2,1539000.0,0.0,0.0,0,0,C5-5,1001035,Yes,Commercial,high
2013-12-11,1,52,1,ACADEMIC HIGH SCHOOL,10989,1958,1,102591,9.34,10.0,8,101,13,1010,2,1,E010,1,W6,0,102591,0,102591,0,0,0,0,0,10.0,0,2,102.42,127.5,99.0,170.0,3,Y,3,2,4999500.0,0.0,0.0,1961,0,C5-5,1001037,Yes,Commercial,high
2013-12-11,1,52,22,FIREHOUSE,4381,1980,1,8008,1.83,10.0,8,101,13,1001,2,1,E010,1,Y1,0,8008,0,0,0,0,0,0,8008,3.0,0,1,114.67,44.0,112.0,40.0,1,Y,3,0,1060200.0,1060200.0,1487700.0,0,0,C5-5,1075700,Yes,Commercial,high
2013-12-11,1,67,1,"OFFICE, AGCY OFFICE, BOROUGH OFFICE, FIELD OFFICE-PUBLIC",59391,1965,1,1073000,18.07,10.0,5,101,15.02,1006,2,1,E004,1,O3,0,1073000,0,1049755,23245,0,0,0,0,44.0,0,1,286.33,261.33,218.25,180.0,0,Y,3,5,31185000.0,0.0,0.0,1965,0,C5-5,1079043,Yes,Commercial,high
2013-12-11,1,68,7,AGCY OFFICE,10894,1958,1,155450,14.27,10.0,5,101,15.02,1010,2,1,E004,1,O2,0,155450,0,137500,17950,0,0,0,0,13.0,0,2,106.08,132.58,106.08,132.58,0,Y,3,2,2137500.0,1090125.0,6196272.0,2005,2010,C5-5,1001111,Yes,Commercial,high
2013-12-11,1,70,32,AGCY EXECUTVE OFFICE,23555,1971,1,453857,19.27,10.0,5,101,15.02,2005,2,1,E004,1,O4,0,453857,0,453857,0,0,0,0,0,24.0,0,5,173.42,127.58,173.0,104.0,1,Y,3,2,12735000.0,0.0,0.0,0,0,C5-5,1001134,Yes,Commercial,high
2013-12-11,1,73,2,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",164325,1900,1,164325,1.0,10.0,7,101,15.02,2014,2,1,E004,1,T2,0,164325,0,0,0,0,0,0,164325,1.0,0,0,273.33,597.75,0.0,540.75,0,Y,2,5,3726000.0,3726000.0,4399200.0,0,0,C4-6,1000000,Yes,Commercial,high
2013-12-11,1,73,8,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",146025,1900,3,35691,0.24,10.0,7,101,15.02,2014,2,1,E006,1,T2,0,35691,0,0,0,0,0,0,35691,1.0,0,0,238.0,597.67,0.0,557.67,0,Y,2,5,3235500.0,3235500.0,3952350.0,0,0,C4-6,1000000,Yes,Commercial,high
2013-12-11,1,73,10,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",208475,1985,3,331550,1.59,10.0,5,101,15.01,3008,2,1,E006,1,K3,0,331550,0,0,331550,0,0,0,0,3.0,0,17,114.0,597.5,242.0,535.0,1,Y,2,0,9360000.0,9360000.0,31947750.0,0,0,C4-6,1001158,Yes,Commercial,high
2013-12-11,1,73,11,"NO USE-NON RES STRC, FINAL COMMITMNT-DISP",21475,1900,1,21475,1.0,10.0,7,101,15.01,3008,2,1,E006,1,Y7,0,21475,0,0,21475,0,0,0,0,4.0,0,11,208.0,105.0,208.0,105.0,1,N,2,0,1822950.0,1822950.0,2025450.0,0,0,C4-6,1001159,Yes,Commercial,high
2013-12-11,1,74,1,"PARK, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",47539,1980,17,125500,2.64,10.0,5,101,15.02,2012,2,1,E006,1,K9,0,125500,0,0,40000,0,0,0,85500,6.0,0,15,195.17,249.33,19.83,70.83,0,Y,3,5,4477500.0,4477500.0,18684000.0,1983,0,C5-3,1085797,Yes,Commercial,high
2013-12-11,1,77,8,"AGCY EXECUTVE OFFICE, FIELD OFFICE-STAFF",32511,1956,1,788241,24.25,10.0,5,101,15.02,1004,2,1,E006,1,O3,0,788241,0,767504,20737,0,0,0,0,31.0,0,1,188.25,173.42,188.25,173.42,0,Y,3,2,14490000.0,0.0,3326400.0,2011,2003,C6-4,1001186,Yes,Commercial,high
2013-12-11,1,92,5,AGCY OFFICE,10586,1951,1,177433,16.76,10.0,5,101,15.01,1007,2,1,E006,1,O3,0,177433,0,168216,9217,0,0,0,0,22.0,0,15,82.83,118.67,83.0,119.0,2,Y,3,2,5400000.0,0.0,0.0,2009,0,C6-4,1001269,Yes,Commercial,high
2013-12-11,1,93,1,"OFFICE, AGCY EXECUTVE OFFICE",30332,1927,1,463679,15.29,10.0,5,101,15.01,1014,2,1,E006,1,O3,0,463679,0,463679,0,0,0,0,0,20.0,0,5,260.42,119.75,260.0,120.0,1,Y,1,2,3910500.0,0.0,0.0,1990,0,C6-4,1001280,Yes,Commercial,high
2013-12-11,1,93,20,AGCY EXECUTVE OFFICE,19103,1955,1,215755,11.29,10.0,5,101,15.01,1013,2,1,E006,1,O3,0,215755,0,215755,0,0,0,0,0,12.0,0,1,105.75,195.67,105.75,195.67,0,Y,3,2,2970000.0,0.0,0.0,2009,0,C6-4,1001281,Yes,Commercial,high
2013-12-11,1,93,30,FIREHOUSE,1837,1920,1,5926,3.23,10.0,8,101,15.01,1013,2,1,E006,1,Y1,0,5926,0,0,0,0,0,0,5926,4.0,0,1,24.33,81.33,24.0,81.0,3,Y,5,2,242550.0,242550.0,354600.0,0,0,C6-4,1001287,Yes,Commercial,high
